prompt_structure,context_mode,choice_format,output_format,max_new_tokens,decoding_strategy,parse_rule,image_size,enable_image_augmentation,brightness_jitter,slight_rotation_deg,include_metadata_in_prompt,metadata_fields,question_label,choices_label,answer_prefix_text,instruction_prefix,ablation_id,n_examples,accuracy,percent_correct,parse_failure_rate,invalid_output_rate,mean_output_length_chars,std_output_length_chars,prediction_distribution
question_first,hint_lecture,letter_dot,letter_only,4,beam,answer_prefix,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genD_004,128,0.46875,46.875,0.453125,0.0,661.609375,381.9190488992522,"{0: 0.6171875, 1: 0.1796875, 2: 0.1328125, 3: 0.0703125}"
question_first,hint_lecture,letter_dot,letter_only,16,beam,answer_prefix,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genD_008,128,0.46875,46.875,0.453125,0.0,661.609375,381.9190488992522,"{0: 0.6171875, 1: 0.1796875, 2: 0.1328125, 3: 0.0703125}"
question_first,hint_lecture,letter_dot,letter_only,32,beam,answer_prefix,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genD_012,128,0.46875,46.875,0.453125,0.0,661.609375,381.9190488992522,"{0: 0.6171875, 1: 0.1796875, 2: 0.1328125, 3: 0.0703125}"
question_first,hint_lecture,letter_dot,letter_only,4,greedy,answer_prefix,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genD_002,128,0.4375,43.75,0.53125,0.0,660.984375,381.94309917297807,"{0: 0.6796875, 1: 0.1484375, 2: 0.1015625, 3: 0.0703125}"
question_first,hint_lecture,letter_dot,letter_only,32,greedy,answer_prefix,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genD_010,128,0.4375,43.75,0.53125,0.0,660.984375,381.94309917297807,"{0: 0.6796875, 1: 0.1484375, 2: 0.1015625, 3: 0.0703125}"
question_first,hint_lecture,letter_dot,letter_only,16,greedy,answer_prefix,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genD_006,128,0.4375,43.75,0.53125,0.0,660.984375,381.94309917297807,"{0: 0.6796875, 1: 0.1484375, 2: 0.1015625, 3: 0.0703125}"
question_first,hint_lecture,letter_dot,letter_only,32,greedy,strict_first_letter,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genD_009,128,0.3046875,30.46875,0.15625,0.0,660.984375,381.94309917297807,"{0: 0.8984375, 1: 0.0703125, 2: 0.015625, 3: 0.015625}"
question_first,hint_lecture,letter_dot,letter_only,4,greedy,strict_first_letter,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genD_001,128,0.3046875,30.46875,0.15625,0.0,660.984375,381.94309917297807,"{0: 0.8984375, 1: 0.0703125, 2: 0.015625, 3: 0.015625}"
question_first,hint_lecture,letter_dot,letter_only,16,greedy,strict_first_letter,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genD_005,128,0.3046875,30.46875,0.15625,0.0,660.984375,381.94309917297807,"{0: 0.8984375, 1: 0.0703125, 2: 0.015625, 3: 0.015625}"
question_first,hint_lecture,letter_dot,letter_only,4,beam,strict_first_letter,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genD_003,128,0.296875,29.6875,0.15625,0.0,661.609375,381.9190488992522,"{0: 0.890625, 1: 0.078125, 2: 0.015625, 3: 0.015625}"
question_first,hint_lecture,letter_dot,letter_only,16,beam,strict_first_letter,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genD_007,128,0.296875,29.6875,0.15625,0.0,661.609375,381.9190488992522,"{0: 0.890625, 1: 0.078125, 2: 0.015625, 3: 0.015625}"
question_first,hint_lecture,letter_dot,letter_only,32,beam,strict_first_letter,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genD_011,128,0.296875,29.6875,0.15625,0.0,661.609375,381.9190488992522,"{0: 0.890625, 1: 0.078125, 2: 0.015625, 3: 0.015625}"
